0 [1, 16, 0, 0, 0, 0]
10 [0, 10, 0, 1, 10551370, 6]
11 [0, 2, 0, 1, 10551370, 6]
3 [0, 3, 6, 1, 10551370, 6]
4 [0, 4, 0, 1, 10551370, 6]
5 [0, 5, 0, 1, 10551370, 6]
6 [0, 7, 0, 1, 10551370, 6]
8 [0, 8, 0, 1, 10551370, 7]
9 [0, 9, 0, 1, 10551370, 7]
10 [0, 10, 0, 1, 10551370, 7]
11 [0, 2, 0, 1, 10551370, 7]
3 [0, 3, 7, 1, 10551370, 7]
4 [0, 4, 0, 1, 10551370, 7]
5 [0, 5, 0, 1, 10551370, 7]
6 [0, 7, 0, 1, 10551370, 7]
8 [0, 8, 0, 1, 10551370, 8]
9 [0, 9, 0, 1, 10551370, 8]
10 [0, 10, 0, 1, 10551370, 8]
11 [0, 2, 0, 1, 10551370, 8]
3 [0, 3, 8, 1, 10551370, 8]
4 [0, 4, 0, 1, 10551370, 8]
5 [0, 5, 0, 1, 10551370, 8]
6 [0, 7, 0, 1, 10551370, 8]
8 [0, 8, 0, 1, 10551370, 9]
9 [0, 9, 0, 1, 10551370, 9]
10 [0, 10, 0, 1, 10551370, 9]
11 [0, 2, 0, 1, 10551370, 9]
3 [0, 3, 9, 1, 10551370, 9]
4 [0, 4, 0, 1, 10551370, 9]
5 [0, 5, 0, 1, 10551370, 9]
6 [0, 7, 0, 1, 10551370, 9]
8 [0, 8, 0, 1, 10551370, 10]
9 [0, 9, 0, 1, 10551370, 10]
10 [0, 10, 0, 1, 10551370, 10]
11 [0, 2, 0, 1, 10551370, 10]
3 [0, 3, 10, 1, 10551370, 10]
4 [0, 4, 0, 1, 10551370, 10]
5 [0, 5, 0, 1, 10551370, 10]
6 [0, 7, 0, 1, 10551370, 10]
8 [0, 8, 0, 1, 10551370, 11]
9 [0, 9, 0, 1, 10551370, 11]
10 [0, 10, 0, 1, 10551370, 11]
11 [0, 2, 0, 1, 10551370, 11]
3 [0, 3, 11, 1, 10551370, 11]
4 [0, 4, 0, 1, 10551370, 11]
5 [0, 5, 0, 1, 10551370, 11]
6 [0, 7, 0, 1, 10551370, 11]
8 [0, 8, 0, 1, 10551370, 12]
9 [0, 9, 0, 1, 10551370, 12]
10 [0, 10, 0, 1, 10551370, 12]
11 [0, 2, 0, 1, 10551370, 12]
3 [0, 3, 12, 1, 10551370, 12]
4 [0, 4, 0, 1, 10551370, 12]
5 [0, 5, 0, 1, 10551370, 12]
6 [0, 7, 0, 1, 10551370, 12]
8 [0, 8, 0, 1, 10551370, 13]
9 [0, 9, 0, 1, 10551370, 13]
10 [0, 10, 0, 1, 10551370, 13]
11 [0, 2, 0, 1, 10551370, 13]
3 [0, 3, 13, 1, 10551370, 13]
4 [0, 4, 0, 1, 10551370, 13]
5 [0, 5, 0, 1, 10551370, 13]
6 [0, 7, 0, 1, 10551370, 13]
8 [0, 8, 0, 1, 10551370, 14]
9 [0, 9, 0, 1, 10551370, 14]
10 [0, 10, 0, 1, 10551370, 14]
11 [0, 2, 0, 1, 10551370, 14]
3 [0, 3, 14, 1, 10551370, 14]
4 [0, 4, 0, 1, 10551370, 14]
5 [0, 5, 0, 1, 10551370, 14]
6 [0, 7, 0, 1, 10551370, 14]
8 [0, 8, 0, 1, 10551370, 15]
9 [0, 9, 0, 1, 10551370, 15]
10 [0, 10, 0, 1, 10551370, 15]
11 [0, 2, 0, 1, 10551370, 15]
3 [0, 3, 15, 1, 10551370, 15]
4 [0, 4, 0, 1, 10551370, 15]
5 [0, 5, 0, 1, 10551370, 15]
6 [0, 7, 0, 1, 10551370, 15]
8 [0, 8, 0, 1, 10551370, 16]
9 [0, 9, 0, 1, 10551370, 16]
10 [0, 10, 0, 1, 10551370, 16]
11 [0, 2, 0, 1, 10551370, 16]
3 [0, 3, 16, 1, 10551370, 16]
4 [0, 4, 0, 1, 10551370, 16]
5 [0, 5, 0, 1, 10551370, 16]
6 [0, 7, 0, 1, 10551370, 16]
8 [0, 8, 0, 1, 10551370, 17]
9 [0, 9, 0, 1, 10551370, 17]
10 [0, 10, 0, 1, 10551370, 17]
11 [0, 2, 0, 1, 10551370, 17]
3 [0, 3, 17, 1, 10551370, 17]
4 [0, 4, 0, 1, 10551370, 17]
5 [0, 5, 0, 1, 10551370, 17]
6 [0, 7, 0, 1, 10551370, 17]
8 [0, 8, 0, 1, 10551370, 18]
9 [0, 9, 0, 1, 10551370, 18]
10 [0, 10, 0, 1, 10551370, 18]
11 [0, 2, 0, 1, 10551370, 18]
3 [0, 3, 18, 1, 10551370, 18]
4 [0, 4, 0, 1, 10551370, 18]
5 [0, 5, 0, 1, 10551370, 18]
6 [0, 7, 0, 1, 10551370, 18]
8 [0, 8, 0, 1, 10551370, 19]
9 [0, 9, 0, 1, 10551370, 19]
10 [0, 10, 0, 1, 10551370, 19]
11 [0, 2, 0, 1, 10551370, 19]
3 [0, 3, 19, 1, 10551370, 19]
4 [0, 4, 0, 1, 10551370, 19]
5 [0, 5, 0, 1, 10551370, 19]
6 [0, 7, 0, 1, 10551370, 19]
8 [0, 8, 0, 1, 10551370, 20]
9 [0, 9, 0, 1, 10551370, 20]
10 [0, 10, 0, 1, 10551370, 20]
11 [0, 2, 0, 1, 10551370, 20]
3 [0, 3, 20, 1, 10551370, 20]
4 [0, 4, 0, 1, 10551370, 20]
5 [0, 5, 0, 1, 10551370, 20]
6 [0, 7, 0, 1, 10551370, 20]
8 [0, 8, 0, 1, 10551370, 21]
9 [0, 9, 0, 1, 10551370, 21]
10 [0, 10, 0, 1, 10551370, 21]
11 [0, 2, 0, 1, 10551370, 21]
3 [0, 3, 21, 1, 10551370, 21]
4 [0, 4, 0, 1, 10551370, 21]
5 [0, 5, 0, 1, 10551370, 21]
6 [0, 7, 0, 1, 10551370, 21]
8 [0, 8, 0, 1, 10551370, 22]
9 [0, 9, 0, 1, 10551370, 22]
10 [0, 10, 0, 1, 10551370, 22]
11 [0, 2, 0, 1, 10551370, 22]
3 [0, 3, 22, 1, 10551370, 22]
4 [0, 4, 0, 1, 10551370, 22]
5 [0, 5, 0, 1, 10551370, 22]
6 [0, 7, 0, 1, 10551370, 22]
8 [0, 8, 0, 1, 10551370, 23]
9 [0, 9, 0, 1, 10551370, 23]
10 [0, 10, 0, 1, 10551370, 23]
11 [0, 2, 0, 1, 10551370, 23]
3 [0, 3, 23, 1, 10551370, 23]
4 [0, 4, 0, 1, 10551370, 23]
5 [0, 5, 0, 1, 10551370, 23]
6 [0, 7, 0, 1, 10551370, 23]
8 [0, 8, 0, 1, 10551370, 24]
9 [0, 9, 0, 1, 10551370, 24]
10 [0, 10, 0, 1, 10551370, 24]
11 [0, 2, 0, 1, 10551370, 24]
3 [0, 3, 24, 1, 10551370, 24]
4 [0, 4, 0, 1, 10551370, 24]
5 [0, 5, 0, 1, 10551370, 24]
6 [0, 7, 0, 1, 10551370, 24]
8 [0, 8, 0, 1, 10551370, 25]
9 [0, 9, 0, 1, 10551370, 25]
10 [0, 10, 0, 1, 10551370, 25]
11 [0, 2, 0, 1, 10551370, 25]
3 [0, 3, 25, 1, 10551370, 25]
4 [0, 4, 0, 1, 10551370, 25]
5 [0, 5, 0, 1, 10551370, 25]
6 [0, 7, 0, 1, 10551370, 25]
8 [0, 8, 0, 1, 10551370, 26]
9 [0, 9, 0, 1, 10551370, 26]
10 [0, 10, 0, 1, 10551370, 26]
11 [0, 2, 0, 1, 10551370, 26]
3 [0, 3, 26, 1, 10551370, 26]
4 [0, 4, 0, 1, 10551370, 26]
5 [0, 5, 0, 1, 10551370, 26]
6 [0, 7, 0, 1, 10551370, 26]
8 [0, 8, 0, 1, 10551370, 27]
9 [0, 9, 0, 1, 10551370, 27]
10 [0, 10, 0, 1, 10551370, 27]
11 [0, 2, 0, 1, 10551370, 27]
3 [0, 3, 27, 1, 10551370, 27]
4 [0, 4, 0, 1, 10551370, 27]
5 [0, 5, 0, 1, 10551370, 27]
6 [0, 7, 0, 1, 10551370, 27]
8 [0, 8, 0, 1, 10551370, 28]
9 [0, 9, 0, 1, 10551370, 28]
10 [0, 10, 0, 1, 10551370, 28]
11 [0, 2, 0, 1, 10551370, 28]
3 [0, 3, 28, 1, 10551370, 28]
4 [0, 4, 0, 1, 10551370, 28]
5 [0, 5, 0, 1, 10551370, 28]
6 [0, 7, 0, 1, 10551370, 28]
8 [0, 8, 0, 1, 10551370, 29]
9 [0, 9, 0, 1, 10551370, 29]
10 [0, 10, 0, 1, 10551370, 29]
11 [0, 2, 0, 1, 10551370, 29]
3 [0, 3, 29, 1, 10551370, 29]
4 [0, 4, 0, 1, 10551370, 29]
5 [0, 5, 0, 1, 10551370, 29]
6 [0, 7, 0, 1, 10551370, 29]
8 [0, 8, 0, 1, 10551370, 30]
9 [0, 9, 0, 1, 10551370, 30]
10 [0, 10, 0, 1, 10551370, 30]
11 [0, 2, 0, 1, 10551370, 30]
3 [0, 3, 30, 1, 10551370, 30]
4 [0, 4, 0, 1, 10551370, 30]
5 [0, 5, 0, 1, 10551370, 30]
6 [0, 7, 0, 1, 10551370, 30]
8 [0, 8, 0, 1, 10551370, 31]
9 [0, 9, 0, 1, 10551370, 31]
10 [0, 10, 0, 1, 10551370, 31]
11 [0, 2, 0, 1, 10551370, 31]
3 [0, 3, 31, 1, 10551370, 31]
4 [0, 4, 0, 1, 10551370, 31]
5 [0, 5, 0, 1, 10551370, 31]
6 [0, 7, 0, 1, 10551370, 31]
8 [0, 8, 0, 1, 10551370, 32]
9 [0, 9, 0, 1, 10551370, 32]
10 [0, 10, 0, 1, 10551370, 32]
11 [0, 2, 0, 1, 10551370, 32]
3 [0, 3, 32, 1, 10551370, 32]
4 [0, 4, 0, 1, 10551370, 32]
5 [0, 5, 0, 1, 10551370, 32]
6 [0, 7, 0, 1, 10551370, 32]
8 [0, 8, 0, 1, 10551370, 33]
9 [0, 9, 0, 1, 10551370, 33]
10 [0, 10, 0, 1, 10551370, 33]
11 [0, 2, 0, 1, 10551370, 33]
3 [0, 3, 33, 1, 10551370, 33]
4 [0, 4, 0, 1, 10551370, 33]
5 [0, 5, 0, 1, 10551370, 33]
6 [0, 7, 0, 1, 10551370, 33]
8 [0, 8, 0, 1, 10551370, 34]
9 [0, 9, 0, 1, 10551370, 34]
10 [0, 10, 0, 1, 10551370, 34]
11 [0, 2, 0, 1, 10551370, 34]
3 [0, 3, 34, 1, 10551370, 34]
4 [0, 4, 0, 1, 10551370, 34]
5 [0, 5, 0, 1, 10551370, 34]
6 [0, 7, 0, 1, 10551370, 34]
8 [0, 8, 0, 1, 10551370, 35]
9 [0, 9, 0, 1, 10551370, 35]
10 [0, 10, 0, 1, 10551370, 35]
11 [0, 2, 0, 1, 10551370, 35]
3 [0, 3, 35, 1, 10551370, 35]
4 [0, 4, 0, 1, 10551370, 35]
5 [0, 5, 0, 1, 10551370, 35]
6 [0, 7, 0, 1, 10551370, 35]
8 [0, 8, 0, 1, 10551370, 36]
9 [0, 9, 0, 1, 10551370, 36]
10 [0, 10, 0, 1, 10551370, 36]
11 [0, 2, 0, 1, 10551370, 36]
3 [0, 3, 36, 1, 10551370, 36]
4 [0, 4, 0, 1, 10551370, 36]
5 [0, 5, 0, 1, 10551370, 36]
6 [0, 7, 0, 1, 10551370, 36]
8 [0, 8, 0, 1, 10551370, 37]
9 [0, 9, 0, 1, 10551370, 37]
10 [0, 10, 0, 1, 10551370, 37]
11 [0, 2, 0, 1, 10551370, 37]
3 [0, 3, 37, 1, 10551370, 37]
4 [0, 4, 0, 1, 10551370, 37]
5 [0, 5, 0, 1, 10551370, 37]
6 [0, 7, 0, 1, 10551370, 37]
8 [0, 8, 0, 1, 10551370, 38]
9 [0, 9, 0, 1, 10551370, 38]
10 [0, 10, 0, 1, 10551370, 38]
11 [0, 2, 0, 1, 10551370, 38]
3 [0, 3, 38, 1, 10551370, 38]
4 [0, 4, 0, 1, 10551370, 38]
5 [0, 5, 0, 1, 10551370, 38]
6 [0, 7, 0, 1, 10551370, 38]
8 [0, 8, 0, 1, 10551370, 39]
9 [0, 9, 0, 1, 10551370, 39]
10 [0, 10, 0, 1, 10551370, 39]
11 [0, 2, 0, 1, 10551370, 39]
3 [0, 3, 39, 1, 10551370, 39]
4 [0, 4, 0, 1, 10551370, 39]
5 [0, 5, 0, 1, 10551370, 39]
6 [0, 7, 0, 1, 10551370, 39]
8 [0, 8, 0, 1, 10551370, 40]
9 [0, 9, 0, 1, 10551370, 40]
10 [0, 10, 0, 1, 10551370, 40]
11 [0, 2, 0, 1, 10551370, 40]
3 [0, 3, 40, 1, 10551370, 40]
4 [0, 4, 0, 1, 10551370, 40]
5 [0, 5, 0, 1, 10551370, 40]
6 [0, 7, 0, 1, 10551370, 40]
8 [0, 8, 0, 1, 10551370, 41]
9 [0, 9, 0, 1, 10551370, 41]
10 [0, 10, 0, 1, 10551370, 41]
11 [0, 2, 0, 1, 10551370, 41]
3 [0, 3, 41, 1, 10551370, 41]
4 [0, 4, 0, 1, 10551370, 41]
5 [0, 5, 0, 1, 10551370, 41]
6 [0, 7, 0, 1, 10551370, 41]
8 [0, 8, 0, 1, 10551370, 42]
9 [0, 9, 0, 1, 10551370, 42]
10 [0, 10, 0, 1, 10551370, 42]
11 [0, 2, 0, 1, 10551370, 42]
3 [0, 3, 42, 1, 10551370, 42]
4 [0, 4, 0, 1, 10551370, 42]
5 [0, 5, 0, 1, 10551370, 42]
6 [0, 7, 0, 1, 10551370, 42]
8 [0, 8, 0, 1, 10551370, 43]
9 [0, 9, 0, 1, 10551370, 43]
10 [0, 10, 0, 1, 10551370, 43]
11 [0, 2, 0, 1, 10551370, 43]
3 [0, 3, 43, 1, 10551370, 43]
4 [0, 4, 0, 1, 10551370, 43]
5 [0, 5, 0, 1, 10551370, 43]
6 [0, 7, 0, 1, 10551370, 43]
8 [0, 8, 0, 1, 10551370, 44]
9 [0, 9, 0, 1, 10551370, 44]
10 [0, 10, 0, 1, 10551370, 44]
11 [0, 2, 0, 1, 10551370, 44]
3 [0, 3, 44, 1, 10551370, 44]
4 [0, 4, 0, 1, 10551370, 44]
5 [0, 5, 0, 1, 10551370, 44]
6 [0, 7, 0, 1, 10551370, 44]
8 [0, 8, 0, 1, 10551370, 45]
9 [0, 9, 0, 1, 10551370, 45]
10 [0, 10, 0, 1, 10551370, 45]
11 [0, 2, 0, 1, 10551370, 45]
3 [0, 3, 45, 1, 10551370, 45]
4 [0, 4, 0, 1, 10551370, 45]
5 [0, 5, 0, 1, 10551370, 45]
6 [0, 7, 0, 1, 10551370, 45]
8 [0, 8, 0, 1, 10551370, 46]
9 [0, 9, 0, 1, 10551370, 46]
10 [0, 10, 0, 1, 10551370, 46]
11 [0, 2, 0, 1, 10551370, 46]
3 [0, 3, 46, 1, 10551370, 46]
4 [0, 4, 0, 1, 10551370, 46]
5 [0, 5, 0, 1, 10551370, 46]
6 [0, 7, 0, 1, 10551370, 46]
8 [0, 8, 0, 1, 10551370, 47]
9 [0, 9, 0, 1, 10551370, 47]
10 [0, 10, 0, 1, 10551370, 47]
11 [0, 2, 0, 1, 10551370, 47]
3 [0, 3, 47, 1, 10551370, 47]
4 [0, 4, 0, 1, 10551370, 47]
5 [0, 5, 0, 1, 10551370, 47]
6 [0, 7, 0, 1, 10551370, 47]
8 [0, 8, 0, 1, 10551370, 48]
9 [0, 9, 0, 1, 10551370, 48]
10 [0, 10, 0, 1, 10551370, 48]
11 [0, 2, 0, 1, 10551370, 48]
3 [0, 3, 48, 1, 10551370, 48]
4 [0, 4, 0, 1, 10551370, 48]
5 [0, 5, 0, 1, 10551370, 48]
6 [0, 7, 0, 1, 10551370, 48]
8 [0, 8, 0, 1, 10551370, 49]
9 [0, 9, 0, 1, 10551370, 49]
10 [0, 10, 0, 1, 10551370, 49]
11 [0, 2, 0, 1, 10551370, 49]
3 [0, 3, 49, 1, 10551370, 49]
4 [0, 4, 0, 1, 10551370, 49]
5 [0, 5, 0, 1, 10551370, 49]
6 [0, 7, 0, 1, 10551370, 49]
8 [0, 8, 0, 1, 10551370, 50]
9 [0, 9, 0, 1, 10551370, 50]
10 [0, 10, 0, 1, 10551370, 50]
11 [0, 2, 0, 1, 10551370, 50]
3 [0, 3, 50, 1, 10551370, 50]
4 [0, 4, 0, 1, 10551370, 50]
5 [0, 5, 0, 1, 10551370, 50]
6 [0, 7, 0, 1, 10551370, 50]
8 [0, 8, 0, 1, 10551370, 51]
9 [0, 9, 0, 1, 10551370, 51]
10 [0, 10, 0, 1, 10551370, 51]
11 [0, 2, 0, 1, 10551370, 51]
3 [0, 3, 51, 1, 10551370, 51]
4 [0, 4, 0, 1, 10551370, 51]
5 [0, 5, 0, 1, 10551370, 51]
6 [0, 7, 0, 1, 10551370, 51]
8 [0, 8, 0, 1, 10551370, 52]
9 [0, 9, 0, 1, 10551370, 52]
10 [0, 10, 0, 1, 10551370, 52]
11 [0, 2, 0, 1, 10551370, 52]
3 [0, 3, 52, 1, 10551370, 52]
4 [0, 4, 0, 1, 10551370, 52]
5 [0, 5, 0, 1, 10551370, 52]
6 [0, 7, 0, 1, 10551370, 52]
8 [0, 8, 0, 1, 10551370, 53]
9 [0, 9, 0, 1, 10551370, 53]
10 [0, 10, 0, 1, 10551370, 53]
11 [0, 2, 0, 1, 10551370, 53]
3 [0, 3, 53, 1, 10551370, 53]
4 [0, 4, 0, 1, 10551370, 53]
5 [0, 5, 0, 1, 10551370, 53]
6 [0, 7, 0, 1, 10551370, 53]
8 [0, 8, 0, 1, 10551370, 54]
9 [0, 9, 0, 1, 10551370, 54]
10 [0, 10, 0, 1, 10551370, 54]
11 [0, 2, 0, 1, 10551370, 54]
3 [0, 3, 54, 1, 10551370, 54]
4 [0, 4, 0, 1, 10551370, 54]
5 [0, 5, 0, 1, 10551370, 54]
6 [0, 7, 0, 1, 10551370, 54]
8 [0, 8, 0, 1, 10551370, 55]
9 [0, 9, 0, 1, 10551370, 55]
10 [0, 10, 0, 1, 10551370, 55]
11 [0, 2, 0, 1, 10551370, 55]
3 [0, 3, 55, 1, 10551370, 55]
4 [0, 4, 0, 1, 10551370, 55]
5 [0, 5, 0, 1, 10551370, 55]
6 [0, 7, 0, 1, 10551370, 55]
8 [0, 8, 0, 1, 10551370, 56]
9 [0, 9, 0, 1, 10551370, 56]
10 [0, 10, 0, 1, 10551370, 56]
11 [0, 2, 0, 1, 10551370, 56]
3 [0, 3, 56, 1, 10551370, 56]
4 [0, 4, 0, 1, 10551370, 56]
5 [0, 5, 0, 1, 10551370, 56]
6 [0, 7, 0, 1, 10551370, 56]
8 [0, 8, 0, 1, 10551370, 57]
9 [0, 9, 0, 1, 10551370, 57]
10 [0, 10, 0, 1, 10551370, 57]
11 [0, 2, 0, 1, 10551370, 57]
3 [0, 3, 57, 1, 10551370, 57]
4 [0, 4, 0, 1, 10551370, 57]
5 [0, 5, 0, 1, 10551370, 57]
6 [0, 7, 0, 1, 10551370, 57]
8 [0, 8, 0, 1, 10551370, 58]
9 [0, 9, 0, 1, 10551370, 58]
10 [0, 10, 0, 1, 10551370, 58]
11 [0, 2, 0, 1, 10551370, 58]
3 [0, 3, 58, 1, 10551370, 58]
4 [0, 4, 0, 1, 10551370, 58]
5 [0, 5, 0, 1, 10551370, 58]
6 [0, 7, 0, 1, 10551370, 58]
8 [0, 8, 0, 1, 10551370, 59]
9 [0, 9, 0, 1, 10551370, 59]
10 [0, 10, 0, 1, 10551370, 59]
11 [0, 2, 0, 1, 10551370, 59]
3 [0, 3, 59, 1, 10551370, 59]
4 [0, 4, 0, 1, 10551370, 59]
5 [0, 5, 0, 1, 10551370, 59]
6 [0, 7, 0, 1, 10551370, 59]
8 [0, 8, 0, 1, 10551370, 60]
9 [0, 9, 0, 1, 10551370, 60]
10 [0, 10, 0, 1, 10551370, 60]
11 [0, 2, 0, 1, 10551370, 60]
3 [0, 3, 60, 1, 10551370, 60]
4 [0, 4, 0, 1, 10551370, 60]
5 [0, 5, 0, 1, 10551370, 60]
6 [0, 7, 0, 1, 10551370, 60]
8 [0, 8, 0, 1, 10551370, 61]
9 [0, 9, 0, 1, 10551370, 61]
10 [0, 10, 0, 1, 10551370, 61]
11 [0, 2, 0, 1, 10551370, 61]
3 [0, 3, 61, 1, 10551370, 61]
4 [0, 4, 0, 1, 10551370, 61]
5 [0, 5, 0, 1, 10551370, 61]
6 [0, 7, 0, 1, 10551370, 61]
8 [0, 8, 0, 1, 10551370, 62]
9 [0, 9, 0, 1, 10551370, 62]
10 [0, 10, 0, 1, 10551370, 62]
11 [0, 2, 0, 1, 10551370, 62]
3 [0, 3, 62, 1, 10551370, 62]
4 [0, 4, 0, 1, 10551370, 62]
5 [0, 5, 0, 1, 10551370, 62]
6 [0, 7, 0, 1, 10551370, 62]
8 [0, 8, 0, 1, 10551370, 63]
9 [0, 9, 0, 1, 10551370, 63]
10 [0, 10, 0, 1, 10551370, 63]
11 [0, 2, 0, 1, 10551370, 63]
3 [0, 3, 63, 1, 10551370, 63]
4 [0, 4, 0, 1, 10551370, 63]
5 [0, 5, 0, 1, 10551370, 63]
6 [0, 7, 0, 1, 10551370, 63]
8 [0, 8, 0, 1, 10551370, 64]
9 [0, 9, 0, 1, 10551370, 64]
10 [0, 10, 0, 1, 10551370, 64]
11 [0, 2, 0, 1, 10551370, 64]
3 [0, 3, 64, 1, 10551370, 64]
4 [0, 4, 0, 1, 10551370, 64]
5 [0, 5, 0, 1, 10551370, 64]
6 [0, 7, 0, 1, 10551370, 64]
8 [0, 8, 0, 1, 10551370, 65]
9 [0, 9, 0, 1, 10551370, 65]
10 [0, 10, 0, 1, 10551370, 65]
11 [0, 2, 0, 1, 10551370, 65]
3 [0, 3, 65, 1, 10551370, 65]
4 [0, 4, 0, 1, 10551370, 65]
5 [0, 5, 0, 1, 10551370, 65]
6 [0, 7, 0, 1, 10551370, 65]
8 [0, 8, 0, 1, 10551370, 66]
9 [0, 9, 0, 1, 10551370, 66]
10 [0, 10, 0, 1, 10551370, 66]
11 [0, 2, 0, 1, 10551370, 66]
3 [0, 3, 66, 1, 10551370, 66]
4 [0, 4, 0, 1, 10551370, 66]
5 [0, 5, 0, 1, 10551370, 66]
6 [0, 7, 0, 1, 10551370, 66]
8 [0, 8, 0, 1, 10551370, 67]
9 [0, 9, 0, 1, 10551370, 67]
10 [0, 10, 0, 1, 10551370, 67]
11 [0, 2, 0, 1, 10551370, 67]
3 [0, 3, 67, 1, 10551370, 67]
4 [0, 4, 0, 1, 10551370, 67]
5 [0, 5, 0, 1, 10551370, 67]
6 [0, 7, 0, 1, 10551370, 67]
8 [0, 8, 0, 1, 10551370, 68]
9 [0, 9, 0, 1, 10551370, 68]
10 [0, 10, 0, 1, 10551370, 68]
11 [0, 2, 0, 1, 10551370, 68]
3 [0, 3, 68, 1, 10551370, 68]
4 [0, 4, 0, 1, 10551370, 68]
5 [0, 5, 0, 1, 10551370, 68]
6 [0, 7, 0, 1, 10551370, 68]
8 [0, 8, 0, 1, 10551370, 69]
9 [0, 9, 0, 1, 10551370, 69]
10 [0, 10, 0, 1, 10551370, 69]
11 [0, 2, 0, 1, 10551370, 69]
3 [0, 3, 69, 1, 10551370, 69]
4 [0, 4, 0, 1, 10551370, 69]
5 [0, 5, 0, 1, 10551370, 69]
6 [0, 7, 0, 1, 10551370, 69]
8 [0, 8, 0, 1, 10551370, 70]
9 [0, 9, 0, 1, 10551370, 70]
10 [0, 10, 0, 1, 10551370, 70]
11 [0, 2, 0, 1, 10551370, 70]
3 [0, 3, 70, 1, 10551370, 70]
4 [0, 4, 0, 1, 10551370, 70]
5 [0, 5, 0, 1, 10551370, 70]
6 [0, 7, 0, 1, 10551370, 70]
8 [0, 8, 0, 1, 10551370, 71]
9 [0, 9, 0, 1, 10551370, 71]
10 [0, 10, 0, 1, 10551370, 71]
11 [0, 2, 0, 1, 10551370, 71]
3 [0, 3, 71, 1, 10551370, 71]
4 [0, 4, 0, 1, 10551370, 71]
5 [0, 5, 0, 1, 10551370, 71]
6 [0, 7, 0, 1, 10551370, 71]
8 [0, 8, 0, 1, 10551370, 72]
9 [0, 9, 0, 1, 10551370, 72]
10 [0, 10, 0, 1, 10551370, 72]
11 [0, 2, 0, 1, 10551370, 72]
3 [0, 3, 72, 1, 10551370, 72]
4 [0, 4, 0, 1, 10551370, 72]
5 [0, 5, 0, 1, 10551370, 72]
6 [0, 7, 0, 1, 10551370, 72]
8 [0, 8, 0, 1, 10551370, 73]
9 [0, 9, 0, 1, 10551370, 73]
10 [0, 10, 0, 1, 10551370, 73]
11 [0, 2, 0, 1, 10551370, 73]
3 [0, 3, 73, 1, 10551370, 73]
4 [0, 4, 0, 1, 10551370, 73]
5 [0, 5, 0, 1, 10551370, 73]
6 [0, 7, 0, 1, 10551370, 73]
8 [0, 8, 0, 1, 10551370, 74]
9 [0, 9, 0, 1, 10551370, 74]
10 [0, 10, 0, 1, 10551370, 74]
11 [0, 2, 0, 1, 10551370, 74]
3 [0, 3, 74, 1, 10551370, 74]
4 [0, 4, 0, 1, 10551370, 74]
5 [0, 5, 0, 1, 10551370, 74]
